Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Carnes e derivados;386;Coxinha de frango, frita;42,2;283;1184;9,6;11,8;15;34,5;5,0;1,8;18;17;386;0,28;93;1,3;532;166;0,09;0,5;Tr;;;0,09;Tr;Tr;2,60;Tr
Carnes e derivados;387;Croquete, de carne, cru;56,0;246;1028;12,0;15,6;30;13,9;;2,5;15;24;387;0,34;144;2,5;711;221;0,10;2,7;Tr;;;0,11;0,04;Tr;1,95;Tr
Carnes e derivados;388;Croquete, de carne, frito;39,2;347;1451;16,9;22,7;38;18,1;;3,1;18;30;388;0,39;176;2,3;916;313;0,09;3,3;Tr;;;0,14;0,04;Tr;4,77;Tr
Carnes e derivados;389;Empada de frango, pré-cozida, assada;28,2;358;1499;6,9;15,6;23;47,5;2,2;1,8;16;18;389;0,32;78;1,2;525;138;0,07;0,6;Tr;;;0,12;Tr;Tr;Tr; 
Carnes e derivados;390;Empada, de frango, pré-cozida;32,0;377;1579;7,3;22,9;23;35,5;2,2;2,2;14;17;390;0,25;78;0,7;771;156;0,09;0,5;Tr;;;0,11;Tr;0,03;Tr; 
Carnes e derivados;391;Frango, asa, com pele, crua;67,5;213;892;18,1;15,1;113;0,0;NA;0,7;11;23;391;0,01;155;0,6;96;211;0,02;1,2;10;10;10;0,11;0,04;Tr;2,58;
Carnes e derivados;392;Frango, caipira, inteiro, com pele, cozido;59,7;243;1016;23,9;15,6;110;0,0;NA;0,8;17;18;392;0,01;162;1,7;56;210;0,08;1,7;16;16;16;0,03;Tr;Tr;6,33;
Carnes e derivados;393;Frango, caipira, inteiro, sem pele, cozido;61,4;196;819;29,6;7,7;106;0,0;NA;1,1;66;23;393;0,02;210;2,1;53;224;0,15;2,7;6;6;6;0,03;0,03;Tr;9,20;
Carnes e derivados;394;Frango, coração, cru;69,1;222;927;12,6;18,6;159;0,0;NA;0,8;6;20;394;0,05;193;4,1;95;220;0,20;2,0;9;9;9;0,23;0,35;Tr;3,39;
Carnes e derivados;395;Frango, coração, grelhado;63,5;207;867;22,4;12,1;280;0,6;NA;1,3;8;20;395;0,06;276;6,5;128;243;0,30;3,4;Tr;Tr;Tr;0,20;0,19;Tr;9,70;
Carnes e derivados;396;Frango, coxa, com pele, assada;59,8;215;900;28,5;10,4;145;0,1;NA;1,3;8;14;396;Tr;251;1,2;95;318;0,05;2,6;6;6;6;0,05;0,05;Tr;10,40;
Carnes e derivados;397;Frango, coxa, com pele, crua;72,9;161;676;17,1;9,8;97;0,0;NA;0,8;8;26;397;0,02;185;0,7;95;275;0,03;2,0;10;10;10;0,16;0,05;Tr;2,04;
Carnes e derivados;398;Frango, coxa, sem pele, cozida;66,7;167;701;26,9;5,8;133;0,0;NA;0,9;12;11;398;Tr;187;0,8;64;191;0,03;2,8;Tr;Tr;Tr;0,07;Tr;Tr;8,20;
Carnes e derivados;399;Frango, coxa, sem pele, crua;76,4;120;502;17,8;4,9;91;0,0;NA;0,9;8;27;399;0,02;196;0,8;98;291;0,03;2,2;12;12;12;0,17;0,05;Tr;3,53;
Carnes e derivados;400;Frango, fígado, cru;77,8;106;446;17,6;3,5;341;0,0;NA;1,2;6;28;400;0,35;344;9,5;82;281;0,26;3,7;3863;3863;3863;0,62;0,56;Tr;6,36;
Carnes e derivados;401;Frango, filé, à milanesa;54,9;221;924;28,5;7,8;84;7,5;1,1;1,3;9;35;401;0,06;249;1,1;122;408;0,05;0,8;7;7;7;0,05;0,04;0,52;11,07;
Carnes e derivados;402;Frango, inteiro, com pele, cru;66,5;226;947;16,4;17,3;85;0,0;NA;0,7;6;24;402;0,01;174;0,6;63;217;0,04;1,1;7;7;7;0,08;0,03;Tr;3,28;
Carnes e derivados;403;Frango, inteiro, sem pele, assado;63,2;187;784;28,0;7,5;111;0,0;NA;1,2;9;14;403;Tr;233;0,6;70;283;0,03;1,6;Tr;Tr;Tr;0,09;Tr;Tr;11,20;
Carnes e derivados;404;Frango, inteiro, sem pele, cozido;67,5;170;713;25,0;7,1;99;0,0;NA;0,9;8;12;404;Tr;194;0,5;51;217;0,04;1,2;Tr;Tr;Tr;0,10;Tr;Tr;12,83;
Carnes e derivados;405;Frango, inteiro, sem pele, cru;74,9;129;540;20,6;4,6;78;0,0;NA;0,9;7;27;405;0,01;190;0,5;73;238;0,03;1,2;4;4;4;0,12;0,03;Tr;3,28;
Carnes e derivados;406;Frango, peito, com pele, assado;58,5;212;886;33,4;7,6;109;0,0;NA;1,5;8;18;406;0,01;297;0,5;56;380;0,01;1,0;6;6;6;0,12;Tr;Tr;15,80;
Carnes e derivados;407;Frango, peito, com pele, cru;71,9;149;625;20,8;6,7;80;0,0;NA;0,9;8;28;407;0,01;213;0,4;62;252;0,05;0,6;4;4;4;0,09;Tr;Tr;2,58;
Carnes e derivados;408;Frango, peito, sem pele, cozido;65,6;163;681;31,5;3,2;89;0,0;NA;1,0;6;14;408;Tr;224;0,3;36;231;0,02;0,9;Tr;Tr;Tr;0,10;Tr;Tr;7,60;
Carnes e derivados;409;Frango, peito, sem pele, cru;74,8;119;499;21,5;3,0;59;0,0;NA;1,0;7;31;409;0,01;222;0,4;56;267;0,03;0,7;2;2;2;0,10;Tr;Tr;5,86;
Carnes e derivados;410;Frango, peito, sem pele, grelhado;63,8;159;666;32,0;2,5;89;0,0;NA;1,4;5;18;410;Tr;295;0,3;50;387;0,02;0,8;Tr;Tr;Tr;0,11;Tr;Tr;24,83;
Carnes e derivados;411;Frango, sobrecoxa, com pele, assada;55,0;260;1086;28,7;15,2;158;0,0;NA;1,3;11;15;411;Tr;252;1,2;96;323;0,06;2,2;8;8;8;0,10;0,05;Tr;11,20;
Carnes e derivados;412;Frango, sobrecoxa, com pele, crua;63,6;255;1065;15,5;20,9;88;0,0;NA;0,8;7;22;412;0,01;154;0,7;68;190;0,05;1,3;7;7;7;0,09;0,06;Tr;3,40;
Carnes e derivados;413;Frango, sobrecoxa, sem pele, assada;55,6;233;974;29,2;12,0;145;0,0;NA;1,5;12;17;413;Tr;281;1,2;106;382;0,07;2,2;11;11;11;0,10;0,05;Tr;10,20;
Carnes e derivados;414;Frango, sobrecoxa, sem pele, crua;72,7;162;677;17,6;9,6;84;0,0;NA;0,9;6;26;414;0,02;187;0,9;80;241;0,06;1,7;4;4;4;0,12;0,06;Tr;4,06;
Carnes e derivados;415;Hambúrguer, bovino, cru;63,6;215;899;13,2;16,2;70;4,2;*;2,9;34;25;415;0,36;141;1,9;869;383;0,16;1,7;Tr;;;0,06;0,08;0,04;3,53;
Carnes e derivados;416;Hambúrguer, bovino, frito;52,5;258;1081;20,0;17,0;49;6,3;*;4,2;62;60;416;0,52;324;3,0;1252;660;0,17;3,2;Tr;;;0,13;0,06;Tr;2,73;
Carnes e derivados;417;Hambúrguer, bovino, grelhado;59,2;210;878;13,2;12,4;59;11,3;*;3,9;56;48;417;0,40;263;2,6;1090;538;0,18;3,0;Tr;;;0,18;0,06;Tr;5,77;
Carnes e derivados;418;Lingüiça, frango, crua;64,8;218;913;14,2;17,4;64;0,0;NA;3,3;11;19;418;0,05;182;0,5;1126;280;0,05;0,7;Tr;;;0,11;0,05;Tr;4,60;
Carnes e derivados;419;Lingüiça, frango, frita;59,6;245;1027;18,3;18,5;76;0,0;NA;3,8;15;29;419;0,10;262;0,8;1374;364;0,04;1,2;Tr;;;0,11;0,05;Tr;5,67;
Carnes e derivados;420;Lingüiça, frango, grelhada;58,6;244;1019;18,2;18,4;80;0,0;NA;3,8;14;21;420;0,10;228;0,7;1351;356;0,09;1,0;Tr;;;0,12;0,04;Tr;5,97;
Carnes e derivados;421;Lingüiça, porco, crua;62,5;227;951;16,1;17,6;53;0,0;NA;3,2;6;14;421;0,01;157;0,4;1176;316;0,04;1,4;Tr;;;0,49;0,05;Tr;2,60;
Carnes e derivados;422;Lingüiça, porco, frita;54,6;280;1170;20,5;21,3;75;0,0;NA;3,9;8;18;422;0,01;211;0,9;1432;409;0,06;3,1;Tr;;;0,41;0,07;Tr;5,83;
Carnes e derivados;423;Lingüiça, porco, grelhada;50,5;296;1241;23,2;21,9;82;0,0;NA;4,0;8;19;423;0,01;210;1,0;1456;427;0,07;3,5;Tr;;;0,40;0,07;Tr;6,60;
Carnes e derivados;424;Mortadela;56,4;269;1125;12,0;21,6;83;5,8;NA;4,1;67;19;424;0,11;216;1,5;1212;247;0,08;1,0;25;;;0,14;0,06;Tr;3,00;
Carnes e derivados;425;Peru, congelado, assado;65,3;163;682;26,2;5,7;91;0,0;NA;2,2;14;12;425;0,02;197;0,6;628;175;0,03;1,2;Tr;Tr;Tr;0,06;Tr;Tr;6,23;
Carnes e derivados;426;Peru, congelado, cru;78,2;94;392;18,1;1,8;68;0,0;NA;2,5;10;19;426;Tr;217;0,9;711;281;0,36;1,4;Tr;Tr;Tr;0,06;Tr;Tr;4,23;
Carnes e derivados;427;Porco, bisteca, crua;67,7;164;687;21,5;8,0;56;0,0;NA;1,0;6;24;427;Tr;195;0,5;54;335;0,07;1,4;Tr;Tr;Tr;0,90;Tr;Tr;2,65;
Carnes e derivados;428;Porco, bisteca, frita;47,3;311;1302;33,7;18,5;126;0,0;NA;1,6;69;29;428;0,01;290;0,8;63;404;0,07;2,2;10;10;10;0,34;Tr;Tr;3,25;
Carnes e derivados;429;Porco, bisteca, grelhada;51,8;280;1172;28,9;17,4;82;0,0;NA;1,2;34;25;429;Tr;229;0,9;51;366;0,06;2,3;Tr;Tr;Tr;0,77;0,14;0,03;1,92;
Carnes e derivados;430;Porco, costela, assada;36,9;402;1683;30,2;30,3;113;0,0;NA;1,4;17;14;430;Tr;201;1,0;63;246;0,07;3,1;Tr;Tr;Tr;0,71;0,05;Tr;10,63;
Carnes e derivados;431;Porco, costela, crua;61,2;256;1069;18,0;19,8;69;0,0;NA;0,9;15;18;431;Tr;159;0,9;88;248;0,05;2,3;Tr;Tr;Tr;0,62;Tr;Tr;8,27;
Carnes e derivados;432;Porco, lombo, assado;56,6;210;880;35,7;6,4;103;0,0;NA;1,4;20;18;432;Tr;238;0,5;39;311;0,03;1,8;Tr;Tr;Tr;0,75;0,07;0,11;12,43;
Carnes e derivados;433;Porco, lombo, cru;67,7;176;735;22,6;8,8;55;0,0;NA;1,0;4;24;433;Tr;195;0,5;53;334;0,01;0,9;Tr;Tr;Tr;0,95;Tr;Tr;13,83;
Carnes e derivados;434;Porco, orelha, salgada, crua;59,7;258;1082;18,5;19,9;83;0,0;NA;2,0;5;2;434;0,01;31;1,4;616;228;0,23;0,6;Tr;Tr;Tr;0,07;0,03;Tr;Tr;
Carnes e derivados;435;Porco, pernil, assado;49,3;262;1097;32,1;13,9;110;0,0;NA;1,4;18;27;435;0,01;247;1,3;62;395;0,09;3,3;Tr;Tr;Tr;0,77;0,09;Tr;6,57;
Carnes e derivados;436;Porco, pernil, cru;67,1;186;778;20,1;11,1;59;0,0;NA;1,0;13;23;436;Tr;192;0,9;102;256;0,16;1,7;Tr;Tr;Tr;1,06;0,06;Tr;5,67;
Carnes e derivados;437;Porco, rabo, salgado, cru;43,8;377;1579;15,6;34,5;89;0,0;NA;3,5;22;4;437;0,01;42;0,6;1158;24;0,05;1,4;Tr;Tr;Tr;0,20;0,06;Tr;1,43;
Carnes e derivados;438;Presunto, com capa de gordura;73,9;128;535;14,4;6,8;40;1,4;NA;3,5;12;17;438;0,04;274;0,7;1021;295;0,04;1,3;Tr; ; ;0,62;0,03;Tr;3,78;
Carnes e derivados;439;Presunto, sem capa de gordura;77,2;94;392;14,3;2,7;36;2,1;NA;3,7;23;18;439;0,04;244;0,8;1039;307;0,04;1,5;Tr; ; ;0,50;0,03;Tr;4,00;
Carnes e derivados;440;Quibe, assado;69,0;136;570;14,6;2,7;34;12,9;1,9;0,9;16;36;440;0,76;174;2,2;40;288;0,51;4,1;Tr;;;0,04;0,04;Tr;1,81;Tr
Carnes e derivados;441;Quibe, cru;74,5;109;458;12,4;1,7;27;10,8;1,6;0,7;12;26;441;0,39;126;1,7;39;242;0,13;2,8;Tr;;;0,09;0,03;Tr;1,20;Tr
Carnes e derivados;442;Quibe, frito;54,0;254;1062;14,9;15,8;38;12,3;;3,0;22;39;442;0,72;166;2,0;836;322;0,16;2,8;Tr;;;0,12;0,10;Tr;1,50;Tr
Carnes e derivados;443;Salame;34,7;398;1665;25,8;30,6;85;2,9;NA;5,9;87;30;443;0,03;354;1,3;1574;548;0,05;3,2;Tr;;;0,88;0,23;Tr;12,49;
Carnes e derivados;444;Toucinho, cru;27,6;593;2479;11,5;60,3;73;0,0;NA;0,3;2;4;444;Tr;35;0,4;50;58;0,11;0,2;Tr;Tr;Tr;Tr;Tr;Tr;5,10;
