Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Frutas e derivados;239;Morango, cru;91,5;30;126;0,9;0,3;NA;6,8;1,7;0,5;11;10;239;0,33;22;0,3;Tr;184;0,06;0,2;NA;;;Tr;0,03;0,03;Tr;63,6
Frutas e derivados;240;Nêspera, crua;87,8;43;178;0,3;Tr;NA;11,5;3,0;0,4;20;10;240;0,07;10;0,1;Tr;113;0,12;0,1;NA;170;85;Tr;Tr;Tr;Tr;3,2
Frutas e derivados;241;Pequi, cru;65,9;205;858;2,3;18,0;NA;13,0;19,0;0,8;32;30;241;0,64;34;0,3;Tr;298;0,21;1,0;NA;60;30;0,17;0,48;0,06;2,57;8,3
Frutas e derivados;242;Pêra, Park, crua;83,2;61;254;0,2;0,2;NA;16,1;3,0;0,3;9;6;242;0,04;12;0,3;1;102;0,08;0,1;NA;;;0,06;Tr;Tr;Tr;2,4
Frutas e derivados;243;Pêra, Williams, crua;85,0;53;223;0,6;0,1;NA;14,0;3,0;0,3;8;6;243;0,04;12;0,1;Tr;116;0,07;0,1;NA; ; ;Tr;Tr;Tr;Tr;2,8
Frutas e derivados;244;Pêssego, Aurora, cru;89,3;36;152;0,8;Tr;NA;9,3;1,4;0,5;3;4;244;0,05;15;0,2;Tr;124;0,02;0,1;NA;;;0,05;Tr;Tr;Tr;3,3
Frutas e derivados;245;Pêssego, enlatado, em calda;82,2;63;264;0,7;Tr;NA;16,9;1,0;0,2;4;4;245;0,03;9;0,6;3;95;0,04;0,1;NA;48;24;Tr;Tr;Tr;Tr;Tr
Frutas e derivados;246;Pinha, crua;75,0;88;370;1,5;0,3;NA;22,4;3,4;0,7;21;31;246;0,15;34;0,2;1;283;0,11;0,2;NA;;;0,12;0,04;0,09;Tr;35,9
Frutas e derivados;247;Pitanga, crua;88,3;41;173;0,9;0,2;NA;10,2;3,2;0,4;18;12;247;0,36;13;0,4;2;113;0,08;0,4;NA;154;77;0,03;0,10;Tr;Tr;24,9
Frutas e derivados;248;Pitanga, polpa, congelada;94,6;19;80;0,3;0,1;NA;4,8;0,7;0,3;8;6;248;0,05;12;0,4;5;87;0,06;0,1;NA;146;73;Tr;Tr;Tr;Tr;Tr
Frutas e derivados;249;Romã, crua;84,0;56;233;0,4;Tr;NA;15,1;0,4;0,5;5;13;249;0,13;40;0,3;1;485;0,19;0,7;NA;;;0,12;0,17;0,05;Tr;8,1
Frutas e derivados;250;Tamarindo, cru;22,0;276;1154;3,2;0,5;NA;72,5;6,4;1,9;37;59;250;0,34;55;0,6;0;723;0,29;0,7;NA;;;0,31;Tr;0,10;Tr;7,2
Frutas e derivados;251;Tangerina, Poncã, crua;89,2;38;158;0,8;0,1;NA;9,6;0,9;0,3;13;8;251;0,04;12;0,1;Tr;131;0,03;Tr;NA;47;24;0,06;0,02;0,02;Tr;48,8
Frutas e derivados;252;Tangerina, Poncã, suco;90,4;36;151;0,5;Tr;NA;8,8;Tr;0,3;4;6;252;0,02;9;Tr;Tr;119;0,02;Tr;NA;51;26;0,06;Tr;0,03;Tr;41,8
Frutas e derivados;253;Tucumã, cru;51,3;262;1096;2,1;19,1;NA;26,5;12,7;1,1;46;121;253;0,55;53;0,6;4;401;0,39;0,9;NA;2363;1181;0,04;Tr;0,11;Tr;18,0
Frutas e derivados;254;Umbu, cru;89,3;37;155;0,8;Tr;NA;9,4;2,0;0,5;12;11;254;0,03;13;0,1;Tr;152;0,04;0,4;NA;;;0,05;0,06;0,03;Tr;24,1
Frutas e derivados;255;Umbu, polpa, congelada;90,2;34;142;0,5;0,1;NA;8,8;1,3;0,4;11;8;255;0,05;13;0,2;6;154;0,04;0,1;NA;;;Tr;0,06;Tr;Tr;4,0
Frutas e derivados;256;Uva, Itália, crua;85,0;53;221;0,7;0,2;NA;13,6;0,9;0,6;7;5;256;0,13;12;0,1;Tr;162;0,11;Tr;NA;5;3;Tr;Tr;0,03;Tr;3,3
Frutas e derivados;257;Uva, Rubi, crua;86,1;49;205;0,6;0,2;NA;12,7;0,9;0,5;8;6;257;0,07;23;0,2;8;159;0,05;Tr;NA;;;0,02;0,02;Tr;Tr;1,9
Frutas e derivados;258;Uva, suco concentrado, envasado;85,1;58;241;Tr;Tr;NA;14,7;0,2;0,2;9;7;258;0,20;10;0,1;10;54;0,13;0,1;NA;;;0,07;0,02;0,05;Tr;21,0
